State,Year,rounded_time,num_fatalities_time
NSW,1992,9:00:00 AM,26
NSW,1992,10:00:00 AM,27
NSW,1992,11:00:00 AM,36
NSW,1992,12:00:00 PM,20
NSW,1992,1:00:00 PM,41
NSW,1992,2:00:00 PM,43
NSW,1992,3:00:00 PM,35
NSW,1992,4:00:00 PM,45
NSW,1992,5:00:00 PM,43
NSW,1992,6:00:00 PM,41
NSW,1992,7:00:00 PM,32
NSW,1992,8:00:00 PM,23
NSW,1992,9:00:00 PM,18
NSW,1992,10:00:00 PM,25
NSW,1992,11:00:00 PM,27
NSW,1993,12:00:00 AM,30
NSW,1993,1:00:00 AM,13
NSW,1993,2:00:00 AM,17
NSW,1993,3:00:00 AM,23
NSW,1993,4:00:00 AM,15
NSW,1993,5:00:00 AM,13
NSW,1993,6:00:00 AM,20
NSW,1993,7:00:00 AM,25
NSW,1993,8:00:00 AM,16
NSW,1993,9:00:00 AM,25
NSW,1993,10:00:00 AM,25
NSW,1993,11:00:00 AM,20
NSW,1993,12:00:00 PM,23
NSW,1993,1:00:00 PM,36
NSW,1993,2:00:00 PM,34
NSW,1993,3:00:00 PM,31
NSW,1993,4:00:00 PM,35
NSW,1993,5:00:00 PM,27
NSW,1993,6:00:00 PM,35
NSW,1993,7:00:00 PM,27
NSW,1993,8:00:00 PM,17
NSW,1993,9:00:00 PM,24
NSW,1993,10:00:00 PM,23
NSW,1993,11:00:00 PM,27
NSW,1994,12:00:00 AM,27
NSW,1994,1:00:00 AM,26
NSW,1994,2:00:00 AM,14
NSW,1994,3:00:00 AM,12
NSW,1994,4:00:00 AM,21
NSW,1994,5:00:00 AM,13
NSW,1994,6:00:00 AM,12
NSW,1994,7:00:00 AM,18
NSW,1994,8:00:00 AM,38
NSW,1994,9:00:00 AM,26
NSW,1994,10:00:00 AM,18
NSW,1994,11:00:00 AM,33
NSW,1994,12:00:00 PM,24
NSW,1994,1:00:00 PM,23
NSW,1994,2:00:00 PM,39
NSW,1994,3:00:00 PM,50
NSW,1994,4:00:00 PM,47
NSW,1994,5:00:00 PM,43
NSW,1994,6:00:00 PM,38
NSW,1994,7:00:00 PM,25
NSW,1994,8:00:00 PM,29
NSW,1994,9:00:00 PM,27
NSW,1994,10:00:00 PM,25
NSW,1994,11:00:00 PM,18
NSW,1995,12:00:00 AM,22
NSW,1995,1:00:00 AM,12
NSW,1995,2:00:00 AM,20
NSW,1995,3:00:00 AM,19
NSW,1995,4:00:00 AM,13
NSW,1995,5:00:00 AM,16
NSW,1995,6:00:00 AM,27
NSW,1995,7:00:00 AM,18
NSW,1995,8:00:00 AM,28
NSW,1995,9:00:00 AM,20
NSW,1995,10:00:00 AM,28
NSW,1995,11:00:00 AM,24
NSW,1995,12:00:00 PM,24
NSW,1995,1:00:00 PM,36
NSW,1995,2:00:00 PM,36
NSW,1995,3:00:00 PM,35
NSW,1995,4:00:00 PM,37
NSW,1995,5:00:00 PM,28
NSW,1995,6:00:00 PM,54
NSW,1995,7:00:00 PM,35
NSW,1995,8:00:00 PM,22
NSW,1995,9:00:00 PM,28
NSW,1995,10:00:00 PM,25
NSW,1995,11:00:00 PM,13
NSW,1996,12:00:00 AM,25
NSW,1996,1:00:00 AM,19
NSW,1996,2:00:00 AM,16
NSW,1996,3:00:00 AM,15
NSW,1996,4:00:00 AM,13
NSW,1996,5:00:00 AM,17
NSW,1996,6:00:00 AM,30
NSW,1996,7:00:00 AM,20
NSW,1996,8:00:00 AM,13
NSW,1996,9:00:00 AM,19
NSW,1996,10:00:00 AM,29
NSW,1996,11:00:00 AM,30
NSW,1996,12:00:00 PM,28
NSW,1996,1:00:00 PM,30
NSW,1996,2:00:00 PM,20
NSW,1996,3:00:00 PM,29
NSW,1996,4:00:00 PM,40
NSW,1996,5:00:00 PM,37
NSW,1996,6:00:00 PM,28
NSW,1996,7:00:00 PM,39
NSW,1996,8:00:00 PM,14
NSW,1996,9:00:00 PM,23
NSW,1996,10:00:00 PM,26
NSW,1996,11:00:00 PM,21
NSW,1997,12:00:00 AM,20
NSW,1997,1:00:00 AM,19
NSW,1997,2:00:00 AM,23
NSW,1997,3:00:00 AM,12
NSW,1997,4:00:00 AM,15
NSW,1997,5:00:00 AM,14
NSW,1997,6:00:00 AM,28
NSW,1997,7:00:00 AM,27
NSW,1997,8:00:00 AM,17
NSW,1997,9:00:00 AM,21
NSW,1997,10:00:00 AM,22
NSW,1997,11:00:00 AM,18
NSW,1997,12:00:00 PM,34
NSW,1997,1:00:00 PM,23
NSW,1997,2:00:00 PM,33
NSW,1997,3:00:00 PM,33
NSW,1997,4:00:00 PM,27
NSW,1997,5:00:00 PM,41
NSW,1997,6:00:00 PM,31
NSW,1997,7:00:00 PM,33
NSW,1997,8:00:00 PM,15
NSW,1997,9:00:00 PM,29
NSW,1997,10:00:00 PM,26
NSW,1997,11:00:00 PM,15
NSW,1998,12:00:00 AM,22
NSW,1998,1:00:00 AM,11
NSW,1998,2:00:00 AM,15
NSW,1998,3:00:00 AM,15
NSW,1998,4:00:00 AM,14
NSW,1998,5:00:00 AM,13
NSW,1998,6:00:00 AM,18
NSW,1998,7:00:00 AM,27
NSW,1998,8:00:00 AM,24
NSW,1998,9:00:00 AM,18
NSW,1998,10:00:00 AM,21
NSW,1998,11:00:00 AM,27
NSW,1998,12:00:00 PM,21
NSW,1998,1:00:00 PM,21
NSW,1998,2:00:00 PM,19
NSW,1998,3:00:00 PM,37
NSW,1998,4:00:00 PM,40
NSW,1998,5:00:00 PM,25
NSW,1998,6:00:00 PM,38
NSW,1998,7:00:00 PM,23
NSW,1998,8:00:00 PM,28
NSW,1998,9:00:00 PM,22
NSW,1998,10:00:00 PM,28
NSW,1998,11:00:00 PM,29
NSW,1999,12:00:00 AM,20
NSW,1999,1:00:00 AM,26
NSW,1999,2:00:00 AM,15
NSW,1999,3:00:00 AM,21
NSW,1999,4:00:00 AM,12
NSW,1999,5:00:00 AM,13
NSW,1999,6:00:00 AM,19
NSW,1999,7:00:00 AM,21
NSW,1999,8:00:00 AM,15
NSW,1999,9:00:00 AM,20
NSW,1999,10:00:00 AM,23
NSW,1999,11:00:00 AM,18
NSW,1999,12:00:00 PM,26
NSW,1999,1:00:00 PM,20
NSW,1999,2:00:00 PM,37
NSW,1999,3:00:00 PM,41
NSW,1999,4:00:00 PM,33
NSW,1999,5:00:00 PM,36
NSW,1999,6:00:00 PM,31
NSW,1999,7:00:00 PM,32
NSW,1999,8:00:00 PM,22
NSW,1999,9:00:00 PM,30
NSW,1999,10:00:00 PM,25
NSW,1999,11:00:00 PM,21
NSW,2000,12:00:00 AM,24
NSW,2000,1:00:00 AM,24
NSW,2000,2:00:00 AM,16
NSW,2000,3:00:00 AM,15
NSW,2000,4:00:00 AM,17
NSW,2000,5:00:00 AM,17
NSW,2000,6:00:00 AM,21
NSW,2000,7:00:00 AM,11
NSW,2000,8:00:00 AM,28
NSW,2000,9:00:00 AM,21
NSW,2000,10:00:00 AM,32
NSW,2000,11:00:00 AM,21
NSW,2000,12:00:00 PM,20
NSW,2000,1:00:00 PM,24
NSW,2000,2:00:00 PM,37
NSW,2000,3:00:00 PM,39
NSW,2000,4:00:00 PM,35
NSW,2000,5:00:00 PM,30
NSW,2000,6:00:00 PM,38
NSW,2000,7:00:00 PM,29
NSW,2000,8:00:00 PM,33
NSW,2000,9:00:00 PM,33
NSW,2000,10:00:00 PM,20
NSW,2000,11:00:00 PM,18
NSW,2001,12:00:00 AM,23
NSW,2001,1:00:00 AM,25
NSW,2001,2:00:00 AM,17
NSW,2001,3:00:00 AM,7
NSW,2001,4:00:00 AM,9
NSW,2001,5:00:00 AM,11
NSW,2001,6:00:00 AM,15
NSW,2001,7:00:00 AM,14
NSW,2001,8:00:00 AM,10
NSW,2001,9:00:00 AM,25
NSW,2001,10:00:00 AM,19
NSW,2001,11:00:00 AM,17
NSW,2001,12:00:00 PM,28
NSW,2001,1:00:00 PM,34
NSW,2001,2:00:00 PM,23
NSW,2001,3:00:00 PM,35
NSW,2001,4:00:00 PM,46
NSW,2001,5:00:00 PM,30
NSW,2001,6:00:00 PM,32
NSW,2001,7:00:00 PM,29
NSW,2001,8:00:00 PM,15
NSW,2001,9:00:00 PM,24
NSW,2001,10:00:00 PM,19
NSW,2001,11:00:00 PM,17
NSW,2002,12:00:00 AM,16
NSW,2002,1:00:00 AM,18
NSW,2002,2:00:00 AM,12
NSW,2002,3:00:00 AM,20
NSW,2002,4:00:00 AM,15
NSW,2002,5:00:00 AM,18
NSW,2002,6:00:00 AM,15
NSW,2002,7:00:00 AM,20
NSW,2002,8:00:00 AM,11
NSW,2002,9:00:00 AM,14
NSW,2002,10:00:00 AM,34
NSW,2002,11:00:00 AM,31
NSW,2002,12:00:00 PM,19
