State,Month,Year,Dayweek,Time,Crash Type,Number Fatalities
WA,4,2022,Friday,10:00,Single,1
WA,4,2022,Saturday,15:00,Single,2
Tas,4,2022,Sunday,11:00,Single,1
Tas,4,2022,Monday,18:00,Multiple,1
WA,3,2022,Sunday,18:00,Single,1
WA,3,2022,Friday,17:00,Multiple,1
NSW,3,2022,Tuesday,6:00,Single,1
Vic,3,2022,Friday,13:00,Multiple,1
Qld,3,2022,Thursday,15:00,Single,1
Qld,3,2022,Sunday,20:00,Multiple,1
SA,3,2022,Monday,12:00,Single,1
SA,3,2022,Friday,9:00,Multiple,1
WA,3,2022,Friday,19:00,Multiple,2
WA,3,2022,Saturday,6:00,Single,1
Tas,3,2022,Tuesday,11:00,Single,1
NSW,3,2022,Friday,9:00,Multiple,1
NSW,3,2022,Wednesday,21:00,Multiple,1
NSW,3,2022,Saturday,22:00,Single,1
NSW,3,2022,Tuesday,14:00,Multiple,1
NSW,3,2022,Sunday,15:00,Single,1
NSW,3,2022,Wednesday,5:00,Multiple,1
NSW,3,2022,Sunday,11:00,Multiple,1
Vic,3,2022,Friday,0:00,Single,1
Vic,3,2022,Sunday,13:00,Multiple,1
Vic,3,2022,Saturday,10:00,Multiple,1
Qld,3,2022,Wednesday,18:00,Single,1
Qld,3,2022,Monday,21:00,Single,1
Qld,3,2022,Monday,8:00,Single,1
SA,3,2022,Saturday,21:00,Single,1
NSW,3,2022,Tuesday,13:00,Single,1
NSW,3,2022,Thursday,13:00,Multiple,2
NSW,3,2022,Monday,16:00,Multiple,1
Vic,3,2022,Thursday,23:00,Single,1
Vic,3,2022,Monday,19:00,Multiple,1
Qld,3,2022,Thursday,1:00,Single,1
Qld,3,2022,Wednesday,17:00,Single,1
Qld,3,2022,Monday,12:00,Multiple,1
Qld,3,2022,Friday,15:00,Single,1
Qld,3,2022,Tuesday,14:00,Single,1
SA,3,2022,Sunday,19:00,Single,1
WA,3,2022,Sunday,7:00,Single,1
NSW,3,2022,Friday,8:00,Multiple,1
NSW,3,2022,Wednesday,1:00,Single,1
NSW,3,2022,Tuesday,4:00,Single,1
NSW,3,2022,Sunday,23:00,Multiple,2
NSW,3,2022,Monday,6:00,Multiple,1
Vic,3,2022,Thursday,23:00,Single,1
WA,3,2022,Monday,0:00,Single,1
WA,3,2022,Saturday,3:00,Single,1
WA,3,2022,Sunday,3:00,Multiple,2
Tas,3,2022,Wednesday,14:00,Multiple,1
Tas,3,2022,Friday,6:00,Multiple,1
NT,3,2022,Saturday,21:00,Multiple,1
NSW,3,2022,Thursday,20:00,Single,1
NSW,3,2022,Friday,8:00,Multiple,1
