State,Year,Month,Fatalities,Day,Date
NSW,1992,Jan,55,1,1992-1-1
NSW,1992,Feb,56,2,1992-2-1
NSW,1992,Mar,56,3,1992-3-1
NSW,1992,Apr,47,4,1992-4-1
NSW,1992,May,41,5,1992-5-1
NSW,1992,Jun,59,6,1992-6-1
NSW,1992,Jul,53,7,1992-7-1
NSW,1992,Aug,65,8,1992-8-1
NSW,1992,Sep,50,9,1992-9-1
NSW,1992,Oct,62,10,1992-10-1
NSW,1992,Nov,55,11,1992-11-1
NSW,1992,Dec,50,12,1992-12-1
NSW,1993,Jan,44,1,1993-1-1
NSW,1993,Feb,31,2,1993-2-1
NSW,1993,Mar,56,3,1993-3-1
NSW,1993,Apr,51,4,1993-4-1
NSW,1993,May,37,5,1993-5-1
NSW,1993,Jun,42,6,1993-6-1
NSW,1993,Jul,42,7,1993-7-1
NSW,1993,Aug,59,8,1993-8-1
NSW,1993,Sep,42,9,1993-9-1
NSW,1993,Oct,59,10,1993-10-1
NSW,1993,Nov,55,11,1993-11-1
NSW,1993,Dec,63,12,1993-12-1
NSW,1994,Jan,56,1,1994-1-1
NSW,1994,Feb,41,2,1994-2-1
NSW,1994,Mar,65,3,1994-3-1
NSW,1994,Apr,53,4,1994-4-1
NSW,1994,May,51,5,1994-5-1
NSW,1994,Jun,42,6,1994-6-1
NSW,1994,Jul,52,7,1994-7-1
NSW,1994,Aug,38,8,1994-8-1
NSW,1994,Sep,43,9,1994-9-1
NSW,1994,Oct,73,10,1994-10-1
NSW,1994,Nov,69,11,1994-11-1
NSW,1994,Dec,63,12,1994-12-1
NSW,1995,Jan,38,1,1995-1-1
NSW,1995,Feb,50,2,1995-2-1
NSW,1995,Mar,61,3,1995-3-1
NSW,1995,Apr,46,4,1995-4-1
NSW,1995,May,48,5,1995-5-1
NSW,1995,Jun,57,6,1995-6-1
NSW,1995,Jul,51,7,1995-7-1
NSW,1995,Aug,53,8,1995-8-1
NSW,1995,Sep,41,9,1995-9-1
NSW,1995,Oct,60,10,1995-10-1
NSW,1995,Nov,59,11,1995-11-1
NSW,1995,Dec,56,12,1995-12-1
NSW,1996,Jan,23,1,1996-1-1
NSW,1996,Feb,49,2,1996-2-1
NSW,1996,Mar,49,3,1996-3-1
NSW,1996,Apr,62,4,1996-4-1
NSW,1996,May,48,5,1996-5-1
NSW,1996,Jun,56,6,1996-6-1
NSW,1996,Jul,50,7,1996-7-1
NSW,1996,Aug,52,8,1996-8-1
NSW,1996,Sep,43,9,1996-9-1
NSW,1996,Oct,52,10,1996-10-1
NSW,1996,Nov,47,11,1996-11-1
NSW,1996,Dec,50,12,1996-12-1
NSW,1997,Jan,69,1,1997-1-1
NSW,1997,Feb,44,2,1997-2-1
NSW,1997,Mar,39,3,1997-3-1
NSW,1997,Apr,42,4,1997-4-1
NSW,1997,May,58,5,1997-5-1
NSW,1997,Jun,38,6,1997-6-1
NSW,1997,Jul,53,7,1997-7-1
NSW,1997,Aug,47,8,1997-8-1
NSW,1997,Sep,35,9,1997-9-1
NSW,1997,Oct,47,10,1997-10-1
NSW,1997,Nov,62,11,1997-11-1
NSW,1997,Dec,42,12,1997-12-1
NSW,1998,Jan,47,1,1998-1-1
NSW,1998,Feb,39,2,1998-2-1
NSW,1998,Mar,61,3,1998-3-1
NSW,1998,Apr,43,4,1998-4-1
NSW,1998,May,58,5,1998-5-1
NSW,1998,Jun,51,6,1998-6-1
NSW,1998,Jul,36,7,1998-7-1
NSW,1998,Aug,51,8,1998-8-1
NSW,1998,Sep,37,9,1998-9-1
NSW,1998,Oct,47,10,1998-10-1
NSW,1998,Nov,31,11,1998-11-1
NSW,1998,Dec,55,12,1998-12-1
NSW,1999,Jan,52,1,1999-1-1
NSW,1999,Feb,41,2,1999-2-1
NSW,1999,Mar,61,3,1999-3-1
NSW,1999,Apr,47,4,1999-4-1
NSW,1999,May,60,5,1999-5-1
NSW,1999,Jun,40,6,1999-6-1
NSW,1999,Jul,39,7,1999-7-1
NSW,1999,Aug,44,8,1999-8-1
NSW,1999,Sep,52,9,1999-9-1
NSW,1999,Oct,43,10,1999-10-1
NSW,1999,Nov,48,11,1999-11-1
NSW,1999,Dec,50,12,1999-12-1
NSW,2000,Jan,50,1,2000-1-1
NSW,2000,Feb,52,2,2000-2-1
NSW,2000,Mar,48,3,2000-3-1
NSW,2000,Apr,55,4,2000-4-1
NSW,2000,May,53,5,2000-5-1
NSW,2000,Jun,48,6,2000-6-1
NSW,2000,Jul,58,7,2000-7-1
NSW,2000,Aug,33,8,2000-8-1
NSW,2000,Sep,50,9,2000-9-1
NSW,2000,Oct,39,10,2000-10-1
NSW,2000,Nov,49,11,2000-11-1
NSW,2000,Dec,68,12,2000-12-1
NSW,2001,Jan,38,1,2001-1-1
NSW,2001,Feb,39,2,2001-2-1
NSW,2001,Mar,42,3,2001-3-1
NSW,2001,Apr,42,4,2001-4-1
NSW,2001,May,56,5,2001-5-1
NSW,2001,Jun,35,6,2001-6-1
NSW,2001,Jul,44,7,2001-7-1
NSW,2001,Aug,51,8,2001-8-1
NSW,2001,Sep,35,9,2001-9-1
NSW,2001,Oct,46,10,2001-10-1
NSW,2001,Nov,46,11,2001-11-1
NSW,2001,Dec,50,12,2001-12-1
NSW,2002,Jan,39,1,2002-1-1
NSW,2002,Feb,45,2,2002-2-1
NSW,2002,Mar,50,3,2002-3-1
NSW,2002,Apr,46,4,2002-4-1
NSW,2002,May,56,5,2002-5-1
NSW,2002,Jun,57,6,2002-6-1
NSW,2002,Jul,35,7,2002-7-1
NSW,2002,Aug,51,8,2002-8-1
NSW,2002,Sep,50,9,2002-9-1
NSW,2002,Oct,45,10,2002-10-1
NSW,2002,Nov,43,11,2002-11-1
NSW,2002,Dec,44,12,2002-12-1
NSW,2003,Jan,42,1,2003-1-1
NSW,2003,Feb,40,2,2003-2-1
NSW,2003,Mar,49,3,2003-3-1
NSW,2003,Apr,47,4,2003-4-1
NSW,2003,May,42,5,2003-5-1
NSW,2003,Jun,32,6,2003-6-1
NSW,2003,Jul,35,7,2003-7-1
NSW,2003,Aug,51,8,2003-8-1
NSW,2003,Sep,40,9,2003-9-1
NSW,2003,Oct,57,10,2003-10-1
NSW,2003,Nov,52,11,2003-11-1
NSW,2003,Dec,52,12,2003-12-1
NSW,2004,Jan,52,1,2004-1-1
NSW,2004,Feb,44,2,2004-2-1
NSW,2004,Mar,48,3,2004-3-1
NSW,2004,Apr,34,4,2004-4-1
NSW,2004,May,39,5,2004-5-1
NSW,2004,Jun,41,6,2004-6-1
NSW,2004,Jul,44,7,2004-7-1
NSW,2004,Aug,43,8,2004-8-1
NSW,2004,Sep,35,9,2004-9-1
NSW,2004,Oct,43,10,2004-10-1
NSW,2004,Nov,47,11,2004-11-1
NSW,2004,Dec,40,12,2004-12-1
NSW,2005,Jan,35,1,2005-1-1
NSW,2005,Feb,38,2,2005-2-1
NSW,2005,Mar,37,3,2005-3-1
NSW,2005,Apr,45,4,2005-4-1
NSW,2005,May,56,5,2005-5-1
NSW,2005,Jun,40,6,2005-6-1
NSW,2005,Jul,50,7,2005-7-1
NSW,2005,Aug,40,8,2005-8-1
NSW,2005,Sep,44,9,2005-9-1
NSW,2005,Oct,40,10,2005-10-1
NSW,2005,Nov,37,11,2005-11-1
NSW,2005,Dec,46,12,2005-12-1
NSW,2006,Jan,57,1,2006-1-1
NSW,2006,Feb,39,2,2006-2-1
NSW,2006,Mar,54,3,2006-3-1
NSW,2006,Apr,49,4,2006-4-1
NSW,2006,May,37,5,2006-5-1
NSW,2006,Jun,43,6,2006-6-1
NSW,2006,Jul,34,7,2006-7-1
NSW,2006,Aug,34,8,2006-8-1
NSW,2006,Sep,33,9,2006-9-1
NSW,2006,Oct,42,10,2006-10-1
NSW,2006,Nov,38,11,2006-11-1
NSW,2006,Dec,36,12,2006-12-1
NSW,2007,Jan,34,1,2007-1-1
NSW,2007,Feb,30,2,2007-2-1
NSW,2007,Mar,42,3,2007-3-1
NSW,2007,Apr,47,4,2007-4-1
NSW,2007,May,31,5,2007-5-1
NSW,2007,Jun,41,6,2007-6-1
NSW,2007,Jul,41,7,2007-7-1
NSW,2007,Aug,30,8,2007-8-1
NSW,2007,Sep,32,9,2007-9-1
NSW,2007,Oct,33,10,2007-10-1
NSW,2007,Nov,37,11,2007-11-1
NSW,2007,Dec,37,12,2007-12-1
NSW,2008,Jan,28,1,2008-1-1
NSW,2008,Feb,29,2,2008-2-1
NSW,2008,Mar,29,3,2008-3-1
NSW,2008,Apr,26,4,2008-4-1
NSW,2008,May,24,5,2008-5-1
NSW,2008,Jun,30,6,2008-6-1
NSW,2008,Jul,34,7,2008-7-1
NSW,2008,Aug,35,8,2008-8-1
NSW,2008,Sep,33,9,2008-9-1
NSW,2008,Oct,39,10,2008-10-1
NSW,2008,Nov,31,11,2008-11-1
NSW,2008,Dec,36,12,2008-12-1
NSW,2009,Jan,26,1,2009-1-1
NSW,2009,Feb,34,2,2009-2-1
NSW,2009,Mar,39,3,2009-3-1
NSW,2009,Apr,55,4,2009-4-1
NSW,2009,May,36,5,2009-5-1
NSW,2009,Jun,35,6,2009-6-1
