State,Year,Day,num_fatalities_heatmap,Time,,
ACT,2022,Thursday,1,23,,
ACT,2022,Friday,1,4,,
ACT,2022,Friday,1,17,,
ACT,2022,Saturday,1,13,,
ACT,2022,Saturday,1,21,,
ACT,2022,Saturday,1,22,,
ACT,2022,Sunday,1,6,,
ACT,2022,Sunday,1,23,,
NSW,1989,Monday,1,0,,
NSW,1989,Monday,4,1,,
NSW,1989,Monday,1,2,,
NSW,1989,Monday,6,3,,
NSW,1989,Monday,2,4,,
NSW,1989,Monday,3,5,,
NSW,1989,Monday,2,6,,
NSW,1989,Monday,2,7,,
NSW,1989,Monday,8,8,,
NSW,1989,Monday,7,9,,
NSW,1989,Monday,7,10,,
NSW,1989,Monday,11,11,,
NSW,1989,Monday,7,12,,
NSW,1989,Monday,5,13,,
NSW,1989,Monday,6,14,,
NSW,1989,Monday,7,15,,
NSW,1989,Monday,10,16,,
NSW,1989,Monday,8,17,,
NSW,1989,Monday,9,18,,
NSW,1989,Monday,3,19,,
NSW,1989,Monday,5,20,,
NSW,1989,Monday,6,22,,
NSW,1989,Monday,8,23,,
NSW,1989,Tuesday,2,0,,
NSW,1989,Tuesday,3,1,,
NSW,1989,Tuesday,4,3,,
NSW,1989,Tuesday,2,4,,
NSW,1989,Tuesday,2,5,,
NSW,1989,Tuesday,3,6,,
NSW,1989,Tuesday,2,7,,
NSW,1989,Tuesday,8,8,,
NSW,1989,Tuesday,3,9,,
NSW,1989,Tuesday,4,10,,
NSW,1989,Tuesday,3,11,,
NSW,1989,Tuesday,2,12,,
NSW,1989,Tuesday,2,13,,
NSW,1989,Tuesday,4,14,,
NSW,1989,Tuesday,4,15,,
NSW,1989,Tuesday,7,16,,
NSW,1989,Tuesday,8,17,,
NSW,1989,Tuesday,8,18,,
NSW,1989,Tuesday,8,19,,
NSW,1989,Tuesday,2,20,,
NSW,1989,Tuesday,4,21,,
NSW,1989,Tuesday,5,22,,
NSW,1989,Tuesday,3,23,,
NSW,1989,Wednesday,3,0,,
NSW,1989,Wednesday,2,1,,
NSW,1989,Wednesday,1,2,,
NSW,1989,Wednesday,7,3,,
NSW,1989,Wednesday,2,4,,
NSW,1989,Wednesday,1,5,,
NSW,1989,Wednesday,5,6,,
NSW,1989,Wednesday,6,7,,
